"Unnamed: 0","Unnamed: 1","Unnamed: 2","Unnamed: 3","Unnamed: 4","Unnamed: 5","Unnamed: 6","Unnamed: 7","Unnamed: 8","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15"
"Friday 13/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ITU 04101 Basic Computer Knowledge"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," "," "," "," "," LIBRARY (70)"," "," "," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Sunday 15/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Monday 16/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," BBT 04101 Elements of Accounting"," -X-"," ---"," -X-"," BBT 04103 Elements of Business Administration"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," LIBRARY (70)"," "," "," "," LIBRARY (70)"," "," "," "," "
""," Timetable generated with FET 5.30.3 on 1/3/23 1:09 PM"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"back to the top"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"NATIONAL INSTITUTE OF TRANSPORT TEST 2 TIMETABLE FOR ACADEMIC YEAR 2022_2023"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," BCCTE"," "," "," "," "," "," "," "," "," "," "," "," "," "," "
""," 07:00-08:00"," 08:00-08:30"," 08:30-09:30"," 09:30-10:00"," 10:00-11:00"," 11:00-11:30"," 11:30-12:30"," 12:30-13:00"," 13:00-14:00"," 14:00-14:30"," 14:30-15:30"," 15:30-16:00"," 16:00-17:00"," 17:00-17:30"," 17:30-18:30"
"Monday 09/01/2023"," CTT 04105 Construction Materials"," -X-"," ---"," -X-"," ---"," -X-"," CTT 04101 Basic Mathematics"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," LR 06 - B 02"," "," "," "," "," "," LR 06 - B 02"," "," "," "," "," "," "," "," "
"Tuesday 10/01/2023"," ---"," -X-"," ---"," -X-"," CTT 04102 Basic Communication Skills"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," LR 06 - B 02"," "," "," "," "," "," "," "," "," "," "
"Wednesday 11/01/2023"," ---"," -X-"," ---"," -X-"," ---"," -X-"," CTT 04107 Basic Soil Mechanics"," -X-"," ---"," -X-"," ---"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," "," "," LR 06 - B 02"," "," "," "," "," "," "," "," "
"Thursday 12/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
"Friday 13/01/2023"," ---"," -X-"," ---"," -X-"," CTT 04106 Basics of Transportation Engineering"," -X-"," ---"," -X-"," ---"," -X-"," CTT 04103 Basic Computer Applications"," -X-"," ---"," -X-"," ---"
""," "," "," "," "," LR 06 - B 02"," "," "," "," "," "," LR 06 - B 02"," "," "," "," "
"Saturday 14/01/2023"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"," -X-"
